org,taigigo
精読,乱読
整頓,乱雑
整然,雑然
成文律,不文律
正門,裏門
西洋,東洋
清流,濁流
正論,邪論
積極,消極
総則,細則
相対的,絶対的
早着,遅着
送別,留別
双方,片方
双方,一方
早漏,遅漏
阻害,助長
即位,退位
俗語,雅語
俗字,正字
側室,正室
促進,抑制
続伸,続落
属性,実体
速筆,遅筆
側面,正面
齟齬,符合
細波,大波
雑居房,独房
雑種,純系
雑詠,題詠
雑収入,定収入
雑多,斉一
雑木,名木
里親,里子
悟り,迷い
左派,右派
差別,平等
妨げる,助ける
冷める,暖まる
左右,前後
明か,仄か
作用,反作用
左腕,右腕
参加,不参加
座礼,立礼
酸化,還元
山上,山下
残暑,余寒
斬新,陳腐
参議院,衆議院
賛成,反対
産前,産後
山賊,海賊
山頂,山麓
山道,海道
散瞳,縮瞳
散発,連発
酸性,アルカリ性
湿潤,乾燥
失職,就職
実戦,理論
質素,贅沢
失敗,成功
質問,解答
質問,回答
質問,答弁
市内,市外
詩的,散文的
自動,他動
支配,従属
地味,派手
邪悪,善良
弱者,強者
借用,貸与
借用,返済
釈放,拘禁
釈放,検挙
邪道,正道
自由,専制
自由,束縛
自由,統制
醜悪,美麗
従因,主因
衆院,参院
縦貫,横貫
収益,損失
終業,始業
集結,散開
充血,貧血
集合,解散
収縮,拡大
収縮,膨張
終着,始発
自立,依存
じり貧,じり高
自律,他律
自立語,付属語
新鋭,古豪
進化,退化
進行,停止
進行,後退
人災,天災
心的,物的
人的,物的
紳士,淑女
真実,虚偽
進取,退嬰
辛勝,楽勝
新制,旧制
心服,畏服
進歩,退歩
進歩的,保守的
親密,疎遠
深層,表層
信用,不信
深夜,白昼
新約,旧約
新訳,旧訳
新暦,旧暦
針葉樹,広葉樹
進路,退路
新例,古例
新郎,新婦
シンメトリック,アシメトリック
積極的,消極的
接近,離脱
接近,離反
絶対,相対
接頭語,接尾語
設置,撤去
絶望,希望
絶賛,酷評
絶頂,どん底
浅見,卓見
漸減,漸増
善業,悪業
先刻,後刻
全国紙,地方紙
戦前,戦後
前妻,後妻
前進,後退
前世,来世
専制的,民主的
全体,部分
全部,一部
先天,後天
全日制,定時制
専任,兼任
全貌,一斑
前回,次回
千秋楽,初日
全身,局部
占領,撤退
善良,不良
善玉,悪玉
千両役者,大根役者
鮮明,不鮮明
浅慮,深慮
前輪,後輪
底値,天井値
粗雑,精密
組織票,浮動票
粗食,美食
疎水,親水
素数,非素数
即効性,遅効性
続行,中止
粗暴,温和
粗野,優雅
祖父,祖母
背く,従う
粗糖,精糖
外側,内側
外面,内面
外堀,内堀
外蓋,内蓋
粗末,大切
粗末,立派
ゾル,ゲル
ソロ,ユニゾン
ソワレ,マチネ
疎漏,厳密
尊敬,侮辱
尊崇,冒涜
尊属,卑属
尊大,卑下
尊重,無視
損害,利益
尊皇,佐幕
損友,益友た
田,畑
退会,入会
体言,用言
大器,小器
大群,小群
大規模,小規模
大吉,大凶
大義,小義
退却,進撃
大国,小国
対抗,本命
対抗,結託
大差,小差
第三者,当事者
代書,自書
大勝,大敗
耐暑,耐寒
大事,小事ち
父,母
父親,母親
父方,母方
地下,地上
稚魚,成魚
蓄財,散財
遅刻,早退
治水,治山
遅効性,速効性
恥辱,名誉
父の日,母の日
縮む,伸びる
縮める,伸ばす
知能犯,強力犯
遅発,早発
地平線,水平線
地方公務員,国家公務員つ
追随,率先
追跡,逃走
対幅,独幅
費やす,蓄える
通学,独学
通勤,住み込み
通常国会,特別国会
通常国会,臨時国会
通常逮捕,緊急逮捕
通常逮捕,現行犯逮捕
通常葉書,往復葉書
通水,断水
通人,野暮天て
手,足
天,地
低圧,高圧
低位,高位
低温,高温
低音,高音
定温動物,変温動物
低額,高額
低学年,高学年
低気圧,高気圧
定期,不定期
低級,高級
定休,臨休
定期預金,普通預金
低吟,高吟
締結,廃棄と
登校,下校
問う,答える
尊い,卑しい
同意語,反意語
同一,不同
頭韻,脚韻
同化,異化
東欧,西欧
同義語,反対語
同義語,反意語
同義語,対義語
同居,別居
同業,異業
同系,異系
当校,他校
統合,分化
統合,分裂
動産,不動産
大乗,小乗
退職,就職
大食,小食
泰然自若,戦戦恐恐
大胆,小心
大胆,小胆
体内,体外
大発会,大納会
逮捕,釈放
大量,少量
大漁,不漁
体力,気力
対話,独話
ダウンロード,アップロード
地方税,国税
地方分権,中央集権
緻密,杜撰
緻密,散漫
地変,天変
着席,起立
着任,離任
着工,完工
着陸,離陸
中元,歳暮
中央,地方
中古,新品
忠告,追従
注釈,本文
中心,周辺
通性,特性
通称,本名
通説,異説
通読,熟読
ツーピース,ワンピース
通有,特有
通覧,熟覧
通例,異例
通例,特例
通論,各論
通論,異論
つかむ,離す
束の間,永久
月末,月初め
月並み,風変わり
逓減,逓増
抵抗,屈服
定時,随時
定時,臨時
貞淑,淫奔
低所,高所
貞女,淫婦
泥酔,微酔
定数,変数
定性分析,定量分析
定説,異説
貞節,不貞
提訴,応訴
提訴,受訴
低利,高利
等式,不等式
当事国,第三国
当社,他社
闘争,和合
謄本,抄本
統治者,被治者
動脈,静脈
冬眠,夏眠
同門,他門
同質,異質
同種,異種
登場,退場
当選,落選
動的,静的
読点,句点
当番,非番
倒す,起こす
手弱女,益荒男
鷹派,鳩派
他国,自国
多神教,一神教
達筆,悪筆
他人,身内
他人,自分
駄馬,駿馬
多勢,無勢
多弁,寡黙
多忙,閑暇
立つ,すわる
奪還,奪取
脱稿,起稿
脱色,染色
脱退,加入
忠臣,逆臣
中枢,末梢
中絶,持続
中毒,解毒
懲悪,勧善
長調,短調
弔電,祝電
長髪,短髪
頂上,麓
長身,短身
挑戦,応戦
張力,圧力
長女,長男
懲罰,褒賞
朝礼,終礼
長編,短編
直筆,曲筆
月夜,闇夜
着く,発つ
付く,取れる
作り話,実話
作り声,地声
つける,消す
呟く,喚く
繋ぐ,切る
常々,折々
常に,稀に
常に,偶に
粒餡,漉し餡
妻,夫
詰袖,振袖
梅雨入り,梅雨明け
強い,弱い
低率,高率
定立,反定立
手枷,足枷
敵,味方
敵国,与国
適切,不適切
適当,不適当
適任,不適任
でぶ,やせ
弟子,師
弟子,師匠
弟子,先生
適格,欠格
適格,不適格
摘発,看過
出口,入り口
凸凹,平ら
動揺,安定
東洋医学,西洋医学
当主,先代
同類,異類
遠い,近い
通す,塞ぐ
度外視,重要視
都会,田舎
得,損
時折,度度
時時,度度
独演,共演
独唱,合唱
特殊,一般
特殊,普遍
特殊性,一般性
多様性,画一性
多量,少量
単一,複合
単行本,全集
単式,複式
単純,複雑
短所,長所
短小,長大
淡水湖,鹹水湖
誕生,死亡
暖色,寒色
暖冬,厳冬
単数,複数
断念,執着
短命,長寿
短慮,深慮
直言,曲言
直訳,意訳
直射光,反射光
長子,末子
直球,変化球
直前,直後
直径,半径
直接,間接
直線,曲線
直観,推論
沈下,隆起
鎮火,発火
鎮火,出火
賃貸,賃借
賃借権,賃貸権
鎮静,興奮
陳腐,新奇
沈没,浮上
強気,弱気
強腰,弱腰
強気筋,弱気筋
強材料,弱材料
強火,弱火
強み,弱み
貫く,挫ける
つるつる,ざらざら
連れ込む,連れ出す
天為,人為
天国,地獄
天才,凡才
天使,悪魔
点在,密集
転借,転貸
恬淡,貪欲
点線,実線
転出,転入
伝統,革新
伝説,史実
天然樹脂,合成樹脂
伝授,伝受
天動説,地動説
天罰,天佑
天然,人工
独創,模倣
得点,失点
特別,普通
独立,依存
独立,隷属
独立,従属
得恋,失恋
溶ける,固まる
登山,下山
年上,年下
整う,乱れる
ドライ,ウエット
トラジック,コミック
取る,捨てる
鈍感,敏感
鈍足,俊足な
内,外
中,外
内因,外因
内科,外科
内職,本職
内苑,外苑
内勤,外勤
内径,外径
内示,公示
内在的,外在的
内需,外需
内部,外部
内助,外援
内用,外用
内親王,親王な
難産,安産
軟式,硬式
軟質,硬質
難解,平易
南東,北西
南下,北上
南欧,北欧
南北,東西
南極,北極
新妻,古妻
荷受け,荷送り
苦手,得手
苦手,得意に
入金,出金
入港,出港
入札,落札
入室,退室
入社,退社
入場,退場
入籍,除籍
入選,落選
入隊,除隊
入団,退団
二枚目,三枚目
任意,強制
